episode,iteration,epReward,Number of Balls
189.00,47.00,3.97,905.00
1489.00,6.00,4.15,2675.00
1789.00,5.00,4.22,2735.00
279.00,32.00,3.96,965.00
229.00,39.00,4.02,995.00
289.00,31.00,3.57,1040.00
199.00,45.00,4.45,980.00
529.00,17.00,3.87,1265.00
219.00,41.00,3.79,935.00
209.00,43.00,3.57,1025.00
1129.00,8.00,4.36,2180.00
1809.00,5.00,4.30,2750.00
1509.00,6.00,4.00,2690.00
1009.00,9.00,3.87,1925.00
259.00,35.00,4.63,980.00
189.00,48.00,3.71,980.00
829.00,11.00,3.65,1670.00
609.00,15.00,4.24,1415.00
1309.00,7.00,3.27,2450.00
269.00,34.00,3.77,1085.00
199.00,46.00,3.71,965.00
709.00,13.00,3.72,1565.00
209.00,44.00,4.52,950.00
249.00,37.00,4.22,1055.00
1029.00,9.00,3.51,1955.00
289.00,32.00,4.57,995.00
299.00,31.00,3.86,1070.00
189.00,49.00,4.16,950.00
549.00,17.00,4.24,1280.00
239.00,39.00,4.22,1025.00
669.00,14.00,4.12,1430.00
199.00,47.00,4.21,950.00
1569.00,6.00,4.25,2795.00
229.00,41.00,4.00,950.00
589.00,16.00,4.21,1445.00
209.00,45.00,4.06,1010.00
219.00,43.00,4.01,1055.00
789.00,12.00,4.26,1565.00
729.00,13.00,3.77,1595.00
249.00,38.00,4.58,1025.00
279.00,34.00,3.65,1100.00
529.00,18.00,3.77,1295.00
1909.00,5.00,4.15,2855.00
289.00,33.00,4.28,965.00
1369.00,7.00,4.43,2510.00
199.00,48.00,4.16,980.00
309.00,31.00,4.11,1070.00
259.00,37.00,4.31,1085.00
1069.00,9.00,3.71,2015.00
1929.00,5.00,3.15,2900.00
209.00,46.00,4.22,980.00
219.00,44.00,4.61,965.00
509.00,19.00,4.13,1325.00
969.00,10.00,3.84,1970.00
269.00,36.00,4.61,875.00
1389.00,7.00,4.71,2510.00
249.00,39.00,4.03,1040.00
609.00,16.00,4.13,1475.00
1629.00,6.00,4.28,2900.00
